text,class,feature,appName
"love to save all my notes because I have short term memory, not sure if its cause from all the weed I used to smoke ",Positive,save all my notes,Evernote
"Ive used this app to plan an entire choir tour to Germany and Austria this past May, and am currently working on digitizing a suggested menu for a fine dining restaurant ",Neutral,plan an entire choir tour,Evernote
"Works amazingly, along with Skitch, but I wish there was a way to import notes into a type of presentation app ",Positive,Skitch,Evernote
"Works amazingly, along with Skitch, but I wish there was a way to import notes into a type of presentation app ",Neutral,import notes,Evernote
I use it for my grocery and to-do lists and I love it!,Positive,grocery,Evernote
I use it for my grocery and to-do lists and I love it!,Positive,to-do lists ,Evernote
"love the program, best thing that I can use to keep track of all my notes I scatter around ",Positive,keep track of all my notes,Evernote
Keeps me well organized and happy with all of everyday task and Internet notes,Neutral,Keeps me well organized,Evernote
Keeps me well organized and happy with all of everyday task and Internet notes,Neutral,Internet notes,Evernote
The developer is devoted to improving the product and making it easier to interface with browsers ,Neutral,interface with browsers,Evernote
"Whats more, its cloud interface allows seamless synch ",Neutral,cloud interface,Evernote
"Whats more, its cloud interface allows seamless synch ",Neutral,synch,Evernote
"Great app that is attractive, easy to learn and use and helpful in many levels of life organization ",Positive,life organization,Evernote
sometime there or appointments 6 months away an I need a notice with an alarm there is not  an alarm on evernote are Ihave havent found one but this help I always want an alarm,Neutral,notice with an alarm,Evernote
sometime there or appointments 6 months away an I need a notice with an alarm there is not  an alarm on evernote are Ihave havent found one but this help I always want an alarm,Neutral,alarm,Evernote
sometime there or appointments 6 months away an I need a notice with an alarm there is not  an alarm on evernote are Ihave havent found one but this help I always want an alarm,Neutral,alarm,Evernote
Sharing notes with other users is awesome ,Positive,Sharing notes,Evernote
i just scan everything into evernote and it automatically files everything for me ,Neutral,scan,Evernote
i just scan everything into evernote and it automatically files everything for me ,Neutral,automatically files,Evernote
i had to switch Kindles after one was faulty and Evernote was an easy way to keep all my documents ,Positive,keep all my documents,Evernote
the only thing is that it doesnt save larger files ,Neutral,save larger files,Evernote
I use this when I dont have access to my computer to type up my homework ,Neutral,type up my homework,Evernote
only gripe is the interface on the kindle could be better ,Negative,interface,Evernote
i really like its shared feature ,Positive,shared feature,Evernote
"i can write a note and have it on my phone, computer and tablet ",Neutral,write a note,Evernote
I like that it can do photos videos audio and text ,Positive,do photos,Evernote
I like the way you can organize into notebooks ,Positive,organize into notebooks,Evernote
great app for taking notes across all platforms ,Positive,taking notes,Evernote
no matter where I am or what device I have available I can always update or create notes ,Neutral,create notes,Evernote
I always have trouble checking my purchased items ,Negative,checking my purchased items,eBay
It could be easier to move around and search in the app ,Neutral,move around,eBay
It could be easier to move around and search in the app ,Neutral,search,eBay
"Can buy stuff online, post items up for sale, keep an eye on your watch list!",Neutral,buy stuff,eBay
"Can buy stuff online, post items up for sale, keep an eye on your watch list!",Neutral,post items up for sale,eBay
"Can buy stuff online, post items up for sale, keep an eye on your watch list!",Neutral,keep an eye on your watch list,eBay
I have tried but it keeps asking for my user name and password and wont let me go any further ,Neutral,asking for my user name and password,eBay
"Gets the simple jobs done, able to select and pay on the spot pretty happy with this app what else can i say",Neutral,pay on the spot,eBay
"I have the same problem on two different phones, even after several updates to the app No matter what I do with the notifications, they never stop ",Neutral,updates,eBay
"I have the same problem on two different phones, even after several updates to the app No matter what I do with the notifications, they never stop ",Neutral,notifications,eBay
"I have each individual notification type turned off, and I have the general notification toggle turned off ",Neutral,individual notification type turned off,eBay
"I have each individual notification type turned off, and I have the general notification toggle turned off ",Neutral,general notification toggle turned off,eBay
It even displays a brief popup when I do this which says it is updating the settings ,Neutral,displays a brief popup,eBay
It even displays a brief popup when I do this which says it is updating the settings ,Neutral,updating the settings,eBay
"And yet, the crummy bloop still keeps coming The has been a problem since last year with a Nexus S, and now the same happens with the new Moto G (not that the phone model should have anything to do with the apps own settings) ",Neutral,settings,eBay
I downloaded the ebay app because I had some specific items I wanted to look for and I wasnt at home near my desktop ,Neutral,items I wanted to look for,eBay
For viewing and bidding the droid app is the way to go ,Neutral,viewing,eBay
For viewing and bidding the droid app is the way to go ,Neutral,bidding,eBay
If I am closing in on a bid I keep laptop and tablet going but the tablet is my preference ,Neutral,closing in on a bid,eBay
"The slimmed down UI makes it very easy to bid, buy and get notified!",Positive,bid,eBay
"The slimmed down UI makes it very easy to bid, buy and get notified!",Positive,buy,eBay
"The slimmed down UI makes it very easy to bid, buy and get notified!",Positive,get notified,eBay
"The slimmed down UI makes it very easy to bid, buy and get notified!",Positive,UI,eBay
I have this installed on my Kindle device ,Neutral,installed,eBay
I like this app for finding car parts for both my old and new cars its kind of fun to bid on stuff,Positive,finding car parts,eBay
I like this app for finding car parts for both my old and new cars its kind of fun to bid on stuff,Positive,bid on stuff,eBay
Makes shopping on Ebay quick and easy ,Positive,shopping,eBay
"It is great when you dont have your computer with you, but want to shop ",Positive,shop,eBay
for viewing and bidding the droid app is the way to go ,Neutral,viewing,eBay
for viewing and bidding the droid app is the way to go ,Neutral,bidding,eBay
"hard to find your way around, great for a quick check of items though ",Positive,check of items,eBay
Cannot check ebay messages ,Neutral,check ebay messages,eBay
Now I can shop ebay without having to turn on my computer!,Neutral,shop,eBay
Love the convenience of shopping and selling on my kindle ,Positive,shopping,eBay
Love the convenience of shopping and selling on my kindle ,Positive,selling,eBay
I downloaded this app on my kindle fire for days I could continue to bid on items when Im away from my computer ,Neutral,bid on items,eBay
App worked great at first then it would never open and the kindle would automatically close it out with a error message ,Neutral,error message,eBay
Very simple navagation and browsing tools!,Positive,navagation,eBay
Very simple navagation and browsing tools!,Positive,browsing tools,eBay
I like that a list of your activity on ebay is easy to see and manage and it doesnt move from your main search list ,Positive,list of your activity,eBay
I like that a list of your activity on ebay is easy to see and manage and it doesnt move from your main search list ,Neutral,main search list,eBay
Great for watching those bids and just finding special items ,Positive,watching those bids,eBay
Great for watching those bids and just finding special items ,Positive,finding special items,eBay
"I have been dealing with ebay for years, almost all of my transactions were great ",Positive,transactions,eBay
Ebay is easy to use and a great way to get products at good prices without driving miles and wasting hours shopping and not finding the product I am looking for ,Positive, get products at good prices,eBay
"I had my items to sell listed in minutes and there was even the option of importing pictures from my phone, no need to download to my computer!",Neutral,items to sell listed,eBay
"I had my items to sell listed in minutes and there was even the option of importing pictures from my phone, no need to download to my computer!",Neutral,importing pictures,eBay
"Log in easy, search easy ",Positive,Log in,eBay
"Log in easy, search easy ",Positive,search,eBay
So much better than the website - just wish I could see my eBay Bucks balance in the app instead of having to go to the site!,Neutral,see my eBay Bucks balance,eBay
This is a nice app to stay informed of new posting on ebay ,Positive,stay informed of new posting,eBay
I enter the search criteria and it sends me an update if someone posts it ,Neutral,enter the search criteria,eBay
I enter the search criteria and it sends me an update if someone posts it ,Neutral,sends me an update,eBay
I enter the search criteria and it sends me an update if someone posts it ,Neutral,posts,eBay
I love to shop on ebay ,Positive,shop,eBay
Makes shopping much more easier ,Positive,shopping,eBay
I find this app easy to manage my ebay listing at a glance ,Positive,manage my ebay listing,eBay
I know you can do more with it but I still use the computer to list my items ,Neutral,list my items,eBay
by my title need to  buy means u can not buy any thing from just the enternet u need the app to buy,Neutral,buy means,eBay
by my title need to  buy means u can not buy any thing from just the enternet u need the app to buy,Neutral,buy,eBay
Online if your not a member you can just pay for ur item And then who ever ships to u like your a member the app doesnt give you a choice it makes u sign in So I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasnt a member,Neutral,pay for ur item,eBay
Online if your not a member you can just pay for ur item And then who ever ships to u like your a member the app doesnt give you a choice it makes u sign in So I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasnt a member,Neutral,sign in,eBay
Online if your not a member you can just pay for ur item And then who ever ships to u like your a member the app doesnt give you a choice it makes u sign in So I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasnt a member,Neutral,purchase something,eBay
Online if your not a member you can just pay for ur item And then who ever ships to u like your a member the app doesnt give you a choice it makes u sign in So I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasnt a member,Neutral,find,eBay
Was watching and auction I had a bid on and was able to follow progress of sale very easily ,Positive,follow progress of sale,eBay
Was watching and auction I had a bid on and was able to follow progress of sale very easily ,Neutral,auction I had a bid on,eBay
up date made it a lot better to buy and sale only if it was a  way to print shippen lable to WiFi printer ill put 5 stars kingblack2210,Positive,up date,eBay
up date made it a lot better to buy and sale only if it was a  way to print shippen lable to WiFi printer ill put 5 stars kingblack2210,Neutral,buy,eBay
up date made it a lot better to buy and sale only if it was a  way to print shippen lable to WiFi printer ill put 5 stars kingblack2210,Neutral,sale,eBay
Makes using my Ebay account easy when I cant get to a computer ,Positive,using my Ebay account,eBay
Now I dont miss out when I get out bid,Neutral,get out bid,eBay
"You can log into the application, view and monitor bids and create new bids ",Neutral,log into,eBay
"You can log into the application, view and monitor bids and create new bids ",Neutral,monitor bids,eBay
"You can log into the application, view and monitor bids and create new bids ",Neutral,create new bids,eBay
"I did not attempt to perform any sales from the application, but I did check and monitor bids, and it was effective ",Positive,monitor bids,eBay
"I did not attempt to perform any sales from the application, but I did check and monitor bids, and it was effective ",Neutral,perform any sales,eBay
With this app you can now see you favorite sellers and do everything you need to do ,Neutral,see you favorite sellers,eBay
I go on ebay often for auctions and just to browse through a category ,Neutral,auctions,eBay
I go on ebay often for auctions and just to browse through a category ,Neutral,browse through a category,eBay
I have no problem purchasing items from this app ,Neutral,purchasing items,eBay
Easy to use especially for someone who likes to search for great deals ,Positive,search for great deals,eBay
I wish the computer version had some of the same filters Couldnt be happier I downloaded this to my Kindle ,Neutral,filters,eBay
"I love shopping on ebay this ap allow me to shop on my kindle or iPhone anywhere I go, just love it",Positive,shopping,eBay
"I love shopping on ebay this ap allow me to shop on my kindle or iPhone anywhere I go, just love it",Positive,shop,eBay
"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match The mobile version is easy to use, I havent posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems ",Positive,bid on items,eBay
"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match The mobile version is easy to use, I havent posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems ",Neutral,syncs with my account,eBay
"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match The mobile version is easy to use, I havent posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems ",Neutral,posted a sale,eBay
"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match The mobile version is easy to use, I havent posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems ",Neutral,monitor anything I have posted,eBay
"Its easy to navigate through the different pages or selling, sold, payments, et cetera ",Positive,navigate through the different pages,eBay
"Its easy to navigate through the different pages or selling, sold, payments, et cetera ",Positive,selling,eBay
"Its easy to navigate through the different pages or selling, sold, payments, et cetera ",Positive,sold,eBay
"Its easy to navigate through the different pages or selling, sold, payments, et cetera ",Positive,payments,eBay
"whats there not to like, love and want to buy!",Positive,buy,eBay
its easy to use & you can create your own account and make tweak it too ,Neutral,create your own account,eBay
Now I can check my ebay listings with my Kindle Fire any time I am within WiFi range!,Neutral,check my ebay listings,eBay
"Love the reminders, loads fast, doesnt hog memory ",Positive,reminders,eBay
"Love the reminders, loads fast, doesnt hog memory ",Positive,loads,eBay
Easily browse thru EBAY with all your favorite sellers and watch list ,Positive,browse,eBay
Easily browse thru EBAY with all your favorite sellers and watch list ,Positive,sellers,eBay
Easily browse thru EBAY with all your favorite sellers and watch list ,Positive,watch list,eBay
Notifications are helpful when working with other apps ,Positive,Notifications,eBay
Easy to navigate and loads quickly ,Positive,navigate,eBay
Easy to navigate and loads quickly ,Positive,loads,eBay
Very helpful when searching and bidding!,Positive,searching,eBay
Very helpful when searching and bidding!,Positive,bidding,eBay
It has really improved my searching for various items having the app handy on both my phone and kindle fire ,Positive,searching for various items,eBay
I have used it many times since installing without any failures ,Neutral,installing,eBay
But I wish it had a link to the full site like the mobile version does ,Neutral,link to the full site,eBay
I find myself having to leave the app to go to website for some things    Like customer service for example ,Neutral,customer service,eBay
Hard to find what I am looking for with the little drop downs ,Negative,find what I am looking,eBay
"I wouldnt use it to list an item, but I would probably use it to buy and check listings ",Neutral,list an item,eBay
"I wouldnt use it to list an item, but I would probably use it to buy and check listings ",Neutral,buy,eBay
"I wouldnt use it to list an item, but I would probably use it to buy and check listings ",Neutral,check listings,eBay
This app is easy to navigate and a joy to use!!,Positive,navigate,eBay
Gets my items listed fast and easy ,Positive,items listed,eBay
Its very easy to use and easy to navigate ,Positive,navigate,eBay
Nice little app lets me connect to ebay with one tap of the finger ,Neutral,connect to ebay,eBay
I can check my ebay bids on my kindle whileon the computer doing something else,Neutral,check my ebay bids,eBay
they have done a good job addressing earlier issues and its become easier to resubmits auctions and change prices ,Positive,resubmits auctions,eBay
they have done a good job addressing earlier issues and its become easier to resubmits auctions and change prices ,Positive,change prices,eBay
I use it daily go check my auctions,Neutral,check my auctions,eBay
Does just what I need it to do with frequent buying and selling ,Neutral,buying,eBay
Does just what I need it to do with frequent buying and selling ,Neutral,selling,eBay
Like the notifications ,Positive,notifications,eBay
"Browsing eBay is fun and easy,but on the kindle fire we are stuck using the old version even though there has been an update out for about a month in googles marketplace ",Positive,Browsing,eBay
"Browsing eBay is fun and easy,but on the kindle fire we are stuck using the old version even though there has been an update out for about a month in googles marketplace ",Neutral,update,eBay
This app makes bidding on ebay fast and easy ,Positive,bidding,eBay
It allows you to shop from any place with wifi ,Neutral,shop,eBay
This makes it so easy to shop ,Positive,shop,eBay
"Love being able to check my ebay on my phone, huge convenience ",Positive,check my ebay,eBay
Helps to keep track of your bids ,Positive,keep track of your bids,eBay
If u dont have a paypal account you cant buy anything ,Neutral,paypal account,eBay
If u dont have a paypal account you cant buy anything ,Neutral,buy,eBay
it is easy to naviagte and it feels like you are online at home,Positive,naviagte,eBay
getting better   like watching auctions   and keeping track what is going on ,Positive,watching auctions,eBay
getting better   like watching auctions   and keeping track what is going on ,Positive,keeping track what is going on,eBay
"If you want to buy things, you dont get as many results for your searches as you would on a pc ",Neutral,buy,eBay
"If you want to buy things, you dont get as many results for your searches as you would on a pc ",Neutral,searches,eBay
Its annoying when I want to find certain things switching between my kindle and the pc ,Negative,find certain things,eBay
Love having Ebay so handy at all times So easy to keep up with my bidding ,Positive,keep up with my bidding,eBay
"If you want to check up on an item, at any time, this is the one for you!",Neutral,check up on an item,eBay
"Then I ran into a problem when I tried to buy something, my payment got hung up, could not make my purchase ",Negative,buy,eBay
"Then I ran into a problem when I tried to buy something, my payment got hung up, could not make my purchase ",Negative,payment,eBay
"Then I ran into a problem when I tried to buy something, my payment got hung up, could not make my purchase ",Negative,make my purchase,eBay
"The app is a lot friendlier than the site, and easy to navigate and keep track of my bids ",Positive,navigate,eBay
"The app is a lot friendlier than the site, and easy to navigate and keep track of my bids ",Positive,keep track of my bids,eBay
It is properly laid out which allows me to find and track items I have purchased ,Positive,track items,eBay
There is also those alerts that are sent on items ordered but not paid for ,Neutral,alerts that are sent on items ordered,eBay
I particularly liked that feature because I had some issues earlier with items I had ordered and had difficulty completing the transaction using another app ,Neutral,items I had ordered,eBay
I needed the app and use it to compare prices with Amazon ,Neutral,compare prices,eBay
Only buy if its free shipping other than that prices are kind of high at ebay ,Neutral,buy if its free shipping,eBay
E-bay has a great selection of any item you might want ,Positive,selection of any item,eBay
I do a lot of shopping on ebay so I love this app it is very useful ,Positive,do a lot of shopping,eBay
If you shop on ebay you should get this app ,Neutral,shop,eBay
I am very happy that I can list items for sell from my phone ,Positive,list items for sell,eBay
Bought a new tail light assembly for my van via ebay that I found while surfing with my kindle ,Neutral,Bought a new tail light assembly,eBay
"they are reliable, honest and always on time with product they send out Will continue to shop on ebay AAA+++",Neutral,shop,eBay
I enjoy shopping on ebay and this app keeps me in touch when i am away from my computer ,Positive,shopping,eBay
I enjoy shopping on ebay and this app keeps me in touch when i am away from my computer ,Neutral,keeps me in touch,eBay
"On Kindle and Android both, eBay is always a reliable shopping tool ",Positive,shopping tool,eBay
It has an easy interface that allows browsing items and My eBay which allows users to login access to your personal profile and items ,Positive,interface,eBay
It has an easy interface that allows browsing items and My eBay which allows users to login access to your personal profile and items ,Neutral,browsing items,eBay
It has an easy interface that allows browsing items and My eBay which allows users to login access to your personal profile and items ,Neutral,login access to your personal profile,eBay
Especially if we are travelling I can check auctions of my husbands and that way he doesnt have to find a computer at the hotel immediately ,Neutral,check auctions,eBay
One wish is that the daily deals could be filtered rather one big list that you have to scroll all the way through to see if something interests you ,Neutral,deals could be filtered,eBay
One wish is that the daily deals could be filtered rather one big list that you have to scroll all the way through to see if something interests you ,Neutral,list that you have to scroll,eBay
"Great app to keep track of all purchases and watched items and it connects to PayPal, which makes it even more convenient ",Positive,keep track of all purchases,eBay
"Great app to keep track of all purchases and watched items and it connects to PayPal, which makes it even more convenient ",Positive,watched items,eBay
"Great app to keep track of all purchases and watched items and it connects to PayPal, which makes it even more convenient ",Positive,connects to PayPal,eBay
It definitely helps keep track of all purchases made ,Positive,keep track of all purchases,eBay
Quick and easy to view and check up on my auctions when Im away from my computer ,Positive,check up on my auctions,eBay
It concerns me that items I list cant be found on the search on this app ,Negative,items I list,eBay
It concerns me that items I list cant be found on the search on this app ,Negative,search,eBay
"Plus,  glitchy as far as shipping prices being reflected correctly ",Neutral,shipping prices,eBay
This app is great if you frequently buy or sell on ebay ,Positive,buy,eBay
This app is great if you frequently buy or sell on ebay ,Positive,sell,eBay
"Simple application to select, install and use,Puts e-bay at your fingertips ",Positive,install,eBay
It makes  your phone or tablet a tool for accessing your account ,Neutral,accessing your account,eBay
It was easy to download and install ,Positive,install,eBay
"Will probably go back and forth, but the app is great for checking, searching, etc ",Positive,checking,eBay
"Will probably go back and forth, but the app is great for checking, searching, etc ",Positive,searching,eBay
"Text is extremely small on 10&#34; tablet, almost unreadable ",Negative,Text,eBay
I especially love the way it handles my searches where it remembers what I have previously viewed on each search list ,Positive,handles my searches,eBay
I especially love the way it handles my searches where it remembers what I have previously viewed on each search list ,Positive,remembers what I have previously viewed,eBay
I especially love the way it handles my searches where it remembers what I have previously viewed on each search list ,Positive,search list,eBay
Great way to navigate eBay on my Kindle Fire HD ,Positive,navigate,eBay
Able to enlarge item photos and further zoom to see every detail ,Neutral,enlarge item photos,eBay
Able to enlarge item photos and further zoom to see every detail ,Neutral,zoom to see every detail,eBay
This application used to work - now with last 3 &#34;updates&#34; it will not connect to the network ,Neutral,updates,eBay
This application used to work - now with last 3 &#34;updates&#34; it will not connect to the network ,Neutral,connect to the network,eBay
I can see what deals I can find while I am on lunch and break   ,Neutral,see what deals,eBay
I sell prints on eBay as well as other objects and it is very nice to get immediate notifications when something sells or when a buyer/potential buyer has a question!,Positive,get immediate notifications,eBay
I sell prints on eBay as well as other objects and it is very nice to get immediate notifications when something sells or when a buyer/potential buyer has a question!,Neutral,sell prints,eBay
I sell prints on eBay as well as other objects and it is very nice to get immediate notifications when something sells or when a buyer/potential buyer has a question!,Neutral,sells,eBay
Their mobile site seems to be missing some options for sorting that this app has ,Neutral,options for sorting,eBay
I like being on the run and still have access to my business ,Positive,have access to my business,eBay
I like that it notifies you if you have won an item and/or have been outbid on an item ,Positive,notifies you if you have won an item,eBay
Good app to conect all,Positive,conect,WhatsApp
Calling feature not working in my phone moto g 1st gen ,Neutral,Calling feature,WhatsApp
Keeps me connected,Neutral,Keeps me connected,WhatsApp
Updated whats app but could not get voice calling option ,Neutral,Updated,WhatsApp
Updated whats app but could not get voice calling option ,Neutral,get voice calling option,WhatsApp
Many of my friends are able to make a voice call facility ,Neutral,make a voice call,WhatsApp
Is this true that the updated version of whatsapp will provide us video calling n likes & comments features,Neutral,updated version,WhatsApp
Is this true that the updated version of whatsapp will provide us video calling n likes & comments features,Neutral,video calling,WhatsApp
Is this true that the updated version of whatsapp will provide us video calling n likes & comments features,Neutral,likes,WhatsApp
Is this true that the updated version of whatsapp will provide us video calling n likes & comments features,Neutral,comments,WhatsApp
"No calling option,tried every possible method,but no luck",Neutral,calling option,WhatsApp
So many bugs force crashes and messages cannot be sent ,Negative,messages cannot be sent,WhatsApp
I can not update my status nor change my dp what is going on,Neutral,update my status,WhatsApp
Animated gifs perhaps,Neutral,Animated gifs,WhatsApp
"Video calling would be 5* material, hopefully thats next!",Neutral,Video calling,WhatsApp
Need to be login & log out feature for security reason or password option,Neutral,login,WhatsApp
Need to be login & log out feature for security reason or password option,Neutral,log out,WhatsApp
Need to be login & log out feature for security reason or password option,Neutral,password,WhatsApp
Sometimes takes too long to respond,Negative,respond,WhatsApp
Please Improve Stickers,Neutral,Stickers,WhatsApp
Conect to all friends,Neutral,Conect to all friends,WhatsApp
I have it texting is free,Neutral,texting,WhatsApp
Its to good to connect with friends,Positive,connect with friends,WhatsApp
I have so much fun with my dude n hos sending voice messages songs videos n pictures ,Positive,sending voice messages,WhatsApp
The only downside for me ( using a sony experia E1) is that my media saves to my phone not my sd card n theres no option to change it like there wae with the older version on my blackberry ,Negative,media saves to my phone,WhatsApp
All required issues have been resolved    Really looking forward to have whatsapp calling working   ,Neutral,calling,WhatsApp
Very much time consuming specially when the time of installation,Negative,installation,WhatsApp
Its stupid   15 20 apps got updated last night and whatsapp kept prompting not sufficient space    wtf is that   ,Neutral,updated,WhatsApp
Its stupid   15 20 apps got updated last night and whatsapp kept prompting not sufficient space    wtf is that   ,Negative,prompting not sufficient space,WhatsApp
My whatsapp suddenly doesnt respond and a box I think that saysits not responding wanna close it appears ,Neutral,respond,WhatsApp
So I select yes and all my chat history is gone and im kicked out of my chat grps ,Neutral,chat history,WhatsApp
So I select yes and all my chat history is gone and im kicked out of my chat grps ,Neutral,chat grps,WhatsApp
So nic whataapp now update,Positive,update,WhatsApp
The name always appeared as numbers ,Neutral,name always appeared as numbers,WhatsApp
Must to uninstall then reinstall,Neutral,uninstall,WhatsApp
Must to uninstall then reinstall,Neutral,reinstall,WhatsApp
Awesome aapp fast chatting,Positive,chatting,WhatsApp
I would have rated 5 if there would have been a send option to multiple users   ,Neutral,send option to multiple users,WhatsApp
Voice messaging giving problems for some strange reason when you access voice message screen ,Neutral,access voice message screen,WhatsApp
Voice messaging giving problems for some strange reason when you access voice message screen ,Negative,Voice messaging,WhatsApp
turns black and the volume is soo low that you have to listen to it on the ear piece and not loud speaker pls pls fix sending updates and still same problem pls fix,Neutral,sending updates,WhatsApp
I cant get access to my profile  ,Neutral,get access to my profile,WhatsApp
I like this app get messages and pic just fine,Positive,get messages,WhatsApp
Please fix so I can reinstall ,Neutral,reinstall,WhatsApp
Calling voice not clear,Negative,Calling voice,WhatsApp
"Itz main problem is slow downloading new version of whtsap, it tk lot of time for download, aft oll if we see Thn whtsap is vgd, itz fastest nd easiest for conveying our mes as well as picz etc ",Positive,conveying our mes,WhatsApp
Im not gettig the service of free call after updating it if I didnt got it soon Im surely going to stop using whatsapp and uninstall it,Neutral,free call,WhatsApp
Im not gettig the service of free call after updating it if I didnt got it soon Im surely going to stop using whatsapp and uninstall it,Neutral,updating,WhatsApp
Im not gettig the service of free call after updating it if I didnt got it soon Im surely going to stop using whatsapp and uninstall it,Neutral,uninstall,WhatsApp
When someone tries to view profile picture then it lags and full picture is not displayed even after scrolling down ,Neutral,view profile picture,WhatsApp
When someone tries to view profile picture then it lags and full picture is not displayed even after scrolling down ,Neutral,full picture is not displayed,WhatsApp
When someone tries to view profile picture then it lags and full picture is not displayed even after scrolling down ,Neutral,scrolling down,WhatsApp
Which was very smooth until last update ,Neutral,update,WhatsApp
After upload I cant see caling option on my phone pls solve my problem,Neutral,upload,WhatsApp
After upload I cant see caling option on my phone pls solve my problem,Negative,caling option,WhatsApp
Iam not able to open the others profile pics     !!!!,Neutral,open the others profile pics,WhatsApp
Great Messaging and Great Images Sharing,Positive,Messaging,WhatsApp
Great Messaging and Great Images Sharing,Positive,Images Sharing,WhatsApp
Why I cannot call on whatsapp,Neutral,call,WhatsApp
New Update made it possible to deduct 2 stars   ,Neutral,Update,WhatsApp
All of my archives and all of my messages just disappeared ,Neutral,archives,WhatsApp
All of my archives and all of my messages just disappeared ,Neutral,messages,WhatsApp
The app has crashed and after reinstalling it is not allowing me to register againg ,Neutral,reinstalling,WhatsApp
The app has crashed and after reinstalling it is not allowing me to register againg ,Neutral,register,WhatsApp
Shows connection error where as my wifi is working properly ,Neutral,Shows connection error,WhatsApp
Calling is not actived,Neutral,Calling,WhatsApp
Easy to msj n col video to friends n family ,Positive,msj,WhatsApp
Easy to msj n col video to friends n family ,Positive,col video,WhatsApp
Good but previous versions UI was better    ,Neutral,UI,WhatsApp
I cant update the latest version what the hell!,Negative,update the latest version,WhatsApp
I have a large group of my friends ,Neutral,group of my friends,WhatsApp
This app is nice  but a problem always create later 3-4 months it have to redownload / update,Neutral,update,WhatsApp
It now shows plenty of notifications whether theyve been read or not,Neutral,shows plenty of notifications,WhatsApp
And enjoying the new call system,Positive,call system,WhatsApp
Like but why no calling,Neutral,calling,WhatsApp
The update is crap it hangs alot,Negative,update,WhatsApp
Fix to send some pdf file,Neutral,send some pdf file,WhatsApp
I cant download need SMS Plan and im using temporary phone still cant download WhatsApp,Neutral,SMS Plan,WhatsApp
No calling option   ,Neutral,calling option,WhatsApp
Im thinking that it would be better if you can expand the chat list ,Neutral,expand the chat list,WhatsApp
"Now, it only show 2 lines of information (line1: name, line2: last message) ",Neutral,show 2 lines of information,WhatsApp
"Now, it only show 2 lines of information (line1: name, line2: last message) ",Neutral,message,WhatsApp
"See if you can make it to 3 lines of information (line1: name, line2: persons status, line3: last message) ",Neutral,persons status,WhatsApp
"See if you can make it to 3 lines of information (line1: name, line2: persons status, line3: last message) ",Neutral,last message,WhatsApp
Nice  for chatting,Positive,chatting,WhatsApp
Its an awsome app    but it would be an more awsome if it had callin feature    am eagerly waiting for it,Neutral,callin feature,WhatsApp
Ive updated few days ago ,Neutral,updated,WhatsApp
There is something wrong with this update ,Negative,update,WhatsApp
Im not getting notifications properly ,Negative,getting notifications,WhatsApp
Its very nice that it keeps people in touch who are far away from each other but it is also a distraction from other things !!,Positive,keeps people in touch,WhatsApp
And if larger files could be transferred like over 50 mb then it would be great,Neutral,larger files could be transferred,WhatsApp
This app Is  still installing,Neutral,installing,WhatsApp
But then the contact wont show up in Whatsapp unless u add +91 ,Neutral,contact wont show up,WhatsApp
plz add stickers also like hike ,Neutral,stickers,WhatsApp
just updated n got whatsapp calling option   called thru wifi but unable to hear second party    then i received one call i answered still same prob    i checked with my friends here in uae and india all r facing same prob plz fix it ,Neutral,updated,WhatsApp
just updated n got whatsapp calling option   called thru wifi but unable to hear second party    then i received one call i answered still same prob    i checked with my friends here in uae and india all r facing same prob plz fix it ,Neutral,whatsapp calling option,WhatsApp
just updated n got whatsapp calling option   called thru wifi but unable to hear second party    then i received one call i answered still same prob    i checked with my friends here in uae and india all r facing same prob plz fix it ,Neutral,called thru wifi,WhatsApp
just updated n got whatsapp calling option   called thru wifi but unable to hear second party    then i received one call i answered still same prob    i checked with my friends here in uae and india all r facing same prob plz fix it ,Neutral,hear second party,WhatsApp
just updated n got whatsapp calling option   called thru wifi but unable to hear second party    then i received one call i answered still same prob    i checked with my friends here in uae and india all r facing same prob plz fix it ,Neutral,received one call,WhatsApp
Just this update thing I hate it ,Negative,update,WhatsApp
No new update,Neutral,update,WhatsApp
Best app but not a calling system,Neutral,calling system,WhatsApp
Please update app as It cannot be updated on Samsung galaxy S3 for voice calls ,Neutral,update,WhatsApp
Please update app as It cannot be updated on Samsung galaxy S3 for voice calls ,Neutral,updated,WhatsApp
Please update app as It cannot be updated on Samsung galaxy S3 for voice calls ,Neutral,voice calls,WhatsApp
